entry_time,side,entry,exit,raw_return,net_return,win
2025-06-18 01:00:00,BUY,1.1500862836837769,1.1508804559707642,0.0006905327871953304,0.000603582789252832,1
2025-06-18 02:00:00,BUY,1.1500862836837769,1.151410460472107,0.0011513716902080695,0.0010644216922655711,1
2025-06-18 03:00:00,BUY,1.15035080909729,1.1518083810806274,0.0012670673778907293,0.0011801373742699446,1
2025-06-18 04:00:00,BUY,1.1508804559707642,1.150483250617981,-0.00034513172130301584,-0.0004320217188533264,0
2025-06-18 05:00:00,BUY,1.1508804559707642,1.1507480144500732,-0.00011507843408398166,-0.00020196843163429223,0
2025-06-18 06:00:00,BUY,1.151410460472107,1.1496896743774414,-0.0014945027457540228,-0.0015813527470637187,0
2025-06-18 07:00:00,BUY,1.1518083810806274,1.151012897491455,-0.0006906388269427577,-0.0007774588237778041,0
2025-06-18 08:00:00,SELL,1.150483250617981,1.151012897491455,-0.00046036904334734174,-0.0005472890397456249,0
2025-06-18 09:00:00,SELL,1.1507480144500732,1.1492931842803955,0.0012642473864037385,0.0011773473885377515,1
2025-06-18 10:00:00,SELL,1.1496896743774414,1.151012897491455,-0.0011509393739055351,-0.0012379193670538167,0
2025-06-18 11:00:00,SELL,1.151012897491455,1.1524720191955566,-0.0012676849297532655,-0.0013545649292892763,0
2025-06-18 12:00:00,SELL,1.151012897491455,1.1506155729293823,0.00034519557768530884,0.0002583155781492981,1
2025-06-18 13:00:00,SELL,1.1492931842803955,1.150218486785889,-0.0008051057103177772,-0.0008921157103488945,0
2025-06-18 14:00:00,SELL,1.151012897491455,1.1479737758636477,0.002640388856137821,0.0025535088566018102,1
2025-06-18 15:00:00,BUY,1.1524720191955566,1.1478420495986938,-0.004017424735478281,-0.004104194737989754,0
2025-06-18 16:00:00,SELL,1.1506155729293823,1.148369312286377,0.0019522251357041442,0.0018653151352203098,1
2025-06-18 17:00:00,SELL,1.150218486785889,1.14850115776062,0.0014930459256204953,0.001406105921483164,1
2025-06-18 18:00:00,BUY,1.1479737758636477,1.1482374668121338,0.000229701195297638,0.0001425911914782845,1
2025-06-18 19:00:00,BUY,1.1478420495986938,1.1479737758636477,0.00011475992276110958,2.7639922204446052e-05,1
2025-06-18 20:00:00,BUY,1.148369312286377,1.14850115776062,0.00011481103929922298,2.77310390500851e-05,1
2025-06-18 21:00:00,BUY,1.14850115776062,1.1456066370010376,-0.00252025933106248,-0.0026073293347140068,0
2025-06-18 22:00:00,BUY,1.1482374668121338,1.1458691358566284,-0.0020625794088400262,-0.0021496694079824784,0
2025-06-18 23:00:00,BUY,1.1479737758636477,1.1469204425811768,-0.0009175586625909116,-0.001004668666410265,0
2025-06-19 01:00:00,BUY,1.1456066370010376,1.1460003852844238,0.0003437028650750129,0.0002564128679938338,1
2025-06-19 02:00:00,BUY,1.1458691358566284,1.1470520496368408,0.0010323288612954507,0.0009450588608470643,1
2025-06-19 03:00:00,BUY,1.1469204425811768,1.1465259790420532,-0.00034393278250044457,-0.0004311227882648786,0
