datetime,pair,close,signal,raw_signal,confidence,dir_edge,p_buy,p_sell,p_hold,model
2026-09-18 11:00:00,EURUSD,1.1463946104049685,BUY,BUY,0.5654,0.1947,0.5654,0.3706,0.064,xgboost
2026-09-18 12:00:00,EURUSD,1.1471836566925049,BUY,BUY,0.4762,0.096,0.4762,0.3803,0.1435,xgboost
2026-09-18 13:00:00,EURUSD,1.1462632417678833,BUY,BUY,0.4575,0.2128,0.4575,0.2447,0.2978,xgboost
2026-09-18 14:00:00,EURUSD,1.1465259790420532,HOLD,BUY,0.3828,0.1081,0.3828,0.2746,0.3426,xgboost
2026-09-18 15:00:00,EURUSD,1.1467890739440918,HOLD,HOLD,0.3824,0.1094,0.3635,0.2541,0.3824,xgboost
2026-09-18 16:00:00,EURUSD,1.1477103233337402,HOLD,HOLD,0.4099,0.0513,0.2694,0.3207,0.4099,xgboost
2026-09-18 17:00:00,EURUSD,1.148369312286377,HOLD,HOLD,0.4067,0.0781,0.2576,0.3357,0.4067,xgboost
2026-09-18 18:00:00,EURUSD,1.1486331224441528,HOLD,HOLD,0.4529,0.0261,0.2866,0.2605,0.4529,xgboost
2026-09-18 19:00:00,EURUSD,1.1488970518112185,HOLD,HOLD,0.4406,0.0028,0.2811,0.2783,0.4406,xgboost
2026-09-18 20:00:00,EURUSD,1.1490291357040403,HOLD,HOLD,0.4233,0.0883,0.3325,0.2442,0.4233,xgboost
2026-09-18 21:00:00,EURUSD,1.1488970518112185,HOLD,HOLD,0.367,0.0489,0.341,0.2921,0.367,xgboost
2026-09-20 23:00:00,EURUSD,1.1481056213378906,HOLD,HOLD,0.3423,0.016,0.3368,0.3209,0.3423,xgboost
2026-09-21 00:00:00,EURUSD,1.14850115776062,HOLD,SELL,0.3914,0.0419,0.3495,0.3914,0.259,xgboost
2026-09-21 01:00:00,EURUSD,1.1486331224441528,BUY,BUY,0.4244,0.0377,0.4244,0.3867,0.1888,xgboost
2026-09-21 02:00:00,EURUSD,1.1479737758636477,SELL,SELL,0.4067,0.0359,0.3708,0.4067,0.2225,xgboost
2026-09-21 03:00:00,EURUSD,1.1478420495986938,SELL,SELL,0.4039,0.026,0.3779,0.4039,0.2182,xgboost
2026-09-21 04:00:00,EURUSD,1.1478420495986938,SELL,SELL,0.4744,0.0925,0.3818,0.4744,0.1438,xgboost
2026-09-21 05:00:00,EURUSD,1.1477103233337402,SELL,SELL,0.5466,0.1681,0.3785,0.5466,0.0749,xgboost
2026-09-21 06:00:00,EURUSD,1.1478420495986938,SELL,SELL,0.5828,0.2309,0.3519,0.5828,0.0653,xgboost
2026-09-21 07:00:00,EURUSD,1.1479737758636477,SELL,SELL,0.6495,0.3485,0.301,0.6495,0.0495,xgboost
